,CVE_ENT,CVE_MUN,CVE_MOD,CVE_TIPO,CVE_SUBTIPO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,TOTAL_DELITOS,VIVIENDA_ENDUTIH_2015
921,2,1,4,11,12,1,0,1,1,2,3,2,3,3,2,2,0,19,2
922,2,1,4,12,13,26,11,30,28,30,34,25,30,33,32,21,23,297,2
923,2,1,4,13,14,335,310,342,307,304,314,311,323,356,343,287,309,3506,2
924,2,3,6,15,16,1,1,1,0,2,0,0,1,2,0,1,0,8,2
925,2,3,6,15,17,11,7,6,9,9,7,3,5,8,8,6,9,77,2
926,2,3,6,15,18,0,0,0,0,0,0,0,0,0,0,1,1,2,2
927,2,3,6,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2
928,2,3,6,15,20,9,11,13,9,3,5,10,8,8,9,19,0,95,2
929,2,3,6,15,10,4,2,2,4,3,9,1,2,4,5,3,13,48,2
930,2,3,6,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
931,2,3,6,16,16,53,32,44,51,43,46,52,50,60,49,49,65,541,2
932,2,3,6,16,17,16,10,4,4,8,6,9,8,3,16,7,17,92,2
933,2,3,6,16,18,29,30,43,37,43,38,40,36,33,40,45,47,432,2
934,2,3,6,16,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2
935,2,3,6,16,20,6,9,6,6,6,8,8,2,9,7,21,25,107,2
936,2,3,6,16,10,42,37,33,43,34,39,29,27,26,38,27,39,372,2
937,2,3,6,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
938,2,3,7,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2
939,2,3,9,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2
940,2,3,9,15,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2
941,2,3,9,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2
942,2,3,9,15,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2
943,2,3,9,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2
944,2,3,9,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
945,2,3,9,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,2
946,2,3,9,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2
947,2,3,9,16,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2
948,2,3,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2
