VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P2_1,P2_2,P2_3,cve_est,cve_mun,cluster
18,1,2,2,1,1,1,5,1,1,10,3,2
19,2,2,2,1,1,2,4,1,1,10,3,2
21,2,2,2,1,1,1,4,1,1,10,3,2
22,2,2,2,1,1,1,3,1,1,10,3,2
1,3,1,1,1,1,1,6,1,1,10,5,1
2,2,1,1,1,1,1,5,1,1,10,5,1
3,2,1,1,1,1,1,2,1,1,10,5,1
4,2,1,1,1,1,1,2,1,1,10,5,1
6,2,1,1,1,1,1,2,1,1,10,5,1
7,1,2,1,1,1,2,5,1,1,10,5,1
8,3,1,1,1,1,1,6,1,1,10,5,2
10,2,1,1,1,1,2,4,1,1,10,5,2
11,2,1,1,1,1,1,2,1,1,10,5,2
12,2,1,1,1,1,2,2,1,1,10,5,2
13,2,1,1,1,1,2,4,1,1,10,5,2
14,2,1,4,1,1,2,2,1,1,10,5,2
15,3,1,1,1,1,1,5,1,1,10,5,2
16,2,1,1,1,1,1,4,1,1,10,5,2
17,2,1,1,1,1,1,6,1,1,10,5,2
18,2,1,1,1,1,2,5,1,1,10,5,2
20,3,1,1,1,1,1,4,1,1,10,5,2
2,2,6,2,1,1,1,2,1,1,10,6,1
3,2,6,2,1,1,1,1,1,1,10,6,1
4,2,6,2,1,2,2,4,1,1,10,6,1
5,2,6,5,1,1,1,5,1,1,10,6,1
6,2,2,2,1,1,2,1,1,1,10,6,1
7,2,2,2,1,1,2,5,1,1,10,6,2
8,2,2,2,1,1,1,3,1,1,10,6,1
10,2,4,2,1,1,1,4,1,1,10,6,2
11,2,5,2,1,1,2,6,1,1,10,6,2
1,3,1,1,1,1,1,5,1,1,10,5,1
3,3,1,1,1,1,1,4,1,1,10,5,1
4,3,1,1,1,1,1,5,1,1,10,5,1
5,3,1,1,1,1,1,1,1,1,10,5,1
1,3,1,1,1,1,1,5,1,1,10,5,1
2,3,1,1,1,1,1,3,1,1,10,5,1
3,2,1,1,1,1,2,2,1,1,10,5,1
5,3,1,1,1,2,2,1,1,1,10,5,1
1,2,1,1,1,1,1,3,1,1,10,5,1
3,3,1,1,1,1,2,1,1,1,10,5,1
4,3,1,1,1,2,2,4,1,1,10,5,1
5,2,2,1,1,2,2,4,1,1,10,5,1
1,3,1,1,1,1,1,4,1,1,10,5,1
2,2,1,1,1,1,2,1,1,1,10,5,1
3,3,1,1,1,1,1,4,1,1,10,5,1
4,3,1,1,1,1,1,1,1,1,10,5,1
5,3,1,1,1,1,2,1,1,1,10,5,1
1,2,1,1,1,1,2,5,1,1,10,5,1
2,3,1,1,1,1,1,4,1,1,10,5,1
3,2,1,2,1,1,1,5,1,1,10,5,1
4,3,4,1,1,1,1,4,1,1,10,5,1
5,3,1,1,1,1,1,7,1,1,10,5,1
1,2,1,1,1,1,1,4,1,1,10,5,1
2,3,1,1,1,1,1,2,1,1,10,5,1
3,3,1,1,1,1,1,4,1,1,10,5,1
4,3,1,1,1,2,2,1,1,1,10,5,1
5,3,1,1,1,1,1,7,1,1,10,5,1
3,3,1,1,1,1,1,4,1,1,10,5,1
4,2,1,1,1,1,1,4,1,1,10,5,1
5,3,1,1,1,1,1,4,1,1,10,5,1
1,2,1,1,1,1,1,4,1,1,10,5,1
2,3,1,1,1,1,1,2,1,1,10,5,1
3,3,1,1,1,1,1,4,1,1,10,5,1
4,2,1,1,1,1,2,3,1,1,10,5,1
5,3,1,1,1,1,2,5,1,1,10,5,1
1,2,1,1,1,1,1,3,1,1,10,5,1
2,2,1,1,1,1,1,5,1,1,10,5,1
3,2,1,1,1,2,2,1,1,1,10,5,1
4,2,2,1,1,1,2,5,1,1,10,8,1
6,2,1,1,1,1,2,1,1,1,10,8,1
7,3,2,1,1,2,1,6,1,1,10,8,2
8,2,1,1,1,1,1,2,1,1,10,8,1
9,2,1,1,1,1,1,8,2,2,10,8,2
10,1,2,1,1,2,2,1,1,1,10,8,2
11,3,1,1,1,1,1,5,1,1,10,8,2
12,2,1,1,1,1,1,1,1,1,10,8,2
13,2,1,1,1,1,1,5,1,1,10,8,2
14,2,1,1,1,1,1,7,1,1,10,8,2
15,3,1,1,1,1,1,6,1,1,10,8,2
16,2,2,2,1,1,2,1,1,1,10,8,2
17,2,1,1,1,1,1,2,1,1,10,8,2
18,2,1,1,1,1,1,4,1,1,10,8,2
19,3,1,1,1,1,1,1,1,1,10,8,2
2,2,1,1,1,1,1,2,1,1,10,12,0
3,2,1,1,1,1,1,5,1,1,10,12,0
2,3,1,1,1,1,1,7,1,1,10,12,0
3,3,1,1,1,1,1,1,1,1,10,12,0
4,2,1,1,1,1,1,3,1,1,10,12,0
5,3,1,1,1,1,1,2,1,1,10,12,0
1,3,1,1,1,1,1,4,1,1,10,12,0
2,3,1,1,1,1,1,3,1,1,10,12,0
3,3,1,1,1,1,1,2,1,1,10,12,0
5,3,1,1,1,1,1,1,1,1,10,12,0
1,3,1,1,1,1,1,2,1,1,10,12,0
2,3,1,1,1,1,1,4,1,1,10,12,0
3,2,1,1,1,1,1,4,1,1,10,12,0
4,2,1,1,1,1,1,6,1,1,10,12,0
5,3,1,1,1,1,1,10,1,1,10,12,0
1,2,1,1,1,1,1,4,1,1,10,12,0
3,3,1,1,1,1,1,4,1,1,10,12,0
5,3,1,1,1,1,1,5,1,1,10,12,0
1,3,1,1,1,1,1,2,1,1,10,12,0
3,3,1,1,1,1,1,1,1,1,10,12,0
4,3,1,1,1,1,2,1,1,1,10,12,0
5,2,1,1,1,1,1,2,1,1,10,12,0
1,3,1,1,1,1,1,5,1,1,10,12,0
16,2,2,5,1,1,1,6,1,1,10,7,2
17,2,2,2,1,1,2,1,1,1,10,7,2
18,2,2,2,1,2,2,3,1,1,10,7,2
19,1,4,5,1,1,2,3,1,1,10,7,2
20,2,1,2,1,1,1,5,1,1,10,7,2
1,2,1,2,1,1,2,2,1,1,10,7,1
2,3,1,2,1,1,1,4,1,1,10,7,1
3,2,1,2,1,1,2,2,1,1,10,7,1
4,2,1,2,1,1,1,6,1,1,10,7,1
6,2,2,5,1,1,1,2,1,1,10,7,1
7,2,2,5,1,1,2,3,1,1,10,7,1
9,2,2,5,1,1,2,5,1,1,10,7,2
10,2,2,5,1,1,1,5,1,1,10,7,2
11,2,2,2,1,2,1,5,1,1,10,7,2
12,2,2,2,1,1,2,3,1,1,10,7,2
13,2,2,2,1,1,2,4,1,1,10,7,2
14,2,2,2,1,1,2,5,1,1,10,7,2
15,2,1,2,1,1,2,1,1,1,10,7,2
16,2,1,1,1,1,2,3,1,1,10,7,2
17,2,2,2,1,1,1,6,1,1,10,7,2
18,2,2,2,1,1,1,2,1,1,10,7,2
19,2,2,2,1,1,1,6,1,1,10,7,2
20,2,1,2,1,1,1,2,1,1,10,7,2
21,2,2,2,1,1,1,2,1,1,10,7,2
2,2,2,2,1,1,1,4,1,1,10,14,0
4,2,2,2,1,1,1,4,1,1,10,14,0
5,2,2,2,1,1,1,4,1,1,10,14,0
7,3,1,1,1,1,1,3,1,1,10,14,0
8,2,2,1,1,1,2,5,1,1,10,14,0
9,2,3,2,1,1,1,7,1,1,10,14,0
12,3,1,1,1,1,1,9,1,1,10,14,2
13,3,1,2,1,1,1,5,1,1,10,14,2
14,2,1,1,1,1,1,6,1,1,10,14,2
16,2,2,2,1,1,2,1,1,1,10,14,2
18,2,2,2,1,1,1,1,1,1,10,14,2
19,2,1,2,1,1,2,8,1,1,10,14,2
4,2,1,1,1,1,1,4,1,1,10,5,1
5,3,1,1,1,1,1,5,1,1,10,5,1
1,2,1,1,1,1,1,1,1,1,10,5,1
2,2,1,1,1,1,1,3,1,1,10,5,1
3,2,1,1,1,1,2,4,1,1,10,5,1
4,2,2,1,1,2,2,3,1,1,10,5,1
1,2,1,1,1,1,1,3,1,1,10,5,1
2,2,1,1,1,1,1,7,1,1,10,5,1
3,2,1,1,1,1,1,5,1,1,10,5,1
4,2,1,1,1,1,1,2,1,1,10,5,1
5,2,1,1,1,1,2,3,1,1,10,5,1
1,3,1,1,1,2,2,5,1,1,10,5,1
2,2,1,1,1,1,1,3,1,1,10,5,1
3,2,1,1,1,1,2,2,1,1,10,5,1
5,3,1,1,1,1,2,1,1,1,10,5,1
1,2,1,1,1,1,1,4,1,1,10,5,1
2,3,1,1,1,1,2,6,1,1,10,5,1
3,2,1,1,1,1,2,2,1,1,10,5,1
4,3,1,1,1,1,1,4,1,1,10,5,1
5,3,1,1,1,1,1,7,1,1,10,5,1
1,2,1,1,1,1,1,5,1,1,10,5,1
2,2,1,1,1,1,2,4,1,1,10,5,1
3,2,1,1,1,1,1,5,1,1,10,5,1
4,2,1,1,1,1,1,4,1,1,10,5,1
1,2,2,1,1,1,1,4,1,1,10,5,1
2,2,1,1,1,1,1,8,1,1,10,5,1
4,2,2,1,1,1,1,6,1,1,10,5,1
5,1,1,1,1,1,2,4,1,1,10,5,1
1,2,1,1,1,1,2,5,1,1,10,5,1
2,2,1,1,1,1,1,2,1,1,10,5,1
3,2,1,1,1,2,2,5,1,1,10,5,1
4,3,1,5,1,1,1,4,1,1,10,5,1
5,2,1,1,1,1,1,3,1,1,10,5,1
2,3,1,1,1,1,1,3,1,1,10,5,1
3,3,1,1,1,1,1,2,1,1,10,5,1
4,2,1,1,1,1,1,4,1,1,10,5,1
3,2,1,1,1,1,2,1,1,1,10,12,0
4,3,1,1,1,1,1,2,1,1,10,12,0
5,2,1,1,1,1,2,3,1,1,10,12,0
1,3,1,1,1,1,1,3,1,1,10,12,0
2,3,1,1,1,1,1,2,1,1,10,12,0
3,3,1,1,1,1,1,2,1,1,10,12,0
4,3,1,1,1,1,1,1,1,1,10,12,0
5,1,1,1,1,1,1,2,1,1,10,12,0
1,2,1,1,1,1,1,1,1,1,10,12,0
2,2,1,1,1,1,2,1,1,1,10,12,0
3,2,1,1,1,1,1,2,1,1,10,12,0
4,2,1,1,1,2,2,1,1,1,10,12,0
5,2,1,1,1,1,1,4,1,1,10,12,0
2,3,1,1,1,1,1,2,1,1,10,12,0
3,3,1,1,1,1,1,3,1,1,10,12,0
4,3,1,1,1,1,1,7,1,1,10,12,0
5,3,1,1,1,1,1,5,1,1,10,12,0
2,3,1,1,1,1,1,2,1,1,10,12,0
3,3,1,1,1,1,1,5,1,1,10,12,0
4,3,1,1,1,1,1,7,1,1,10,12,0
5,2,2,2,1,2,2,4,1,1,10,12,0
2,3,1,1,1,1,1,4,1,1,10,12,0
4,3,1,1,1,1,1,4,1,1,10,12,0
1,3,1,1,1,1,1,3,1,1,10,12,0
2,3,1,1,1,1,1,5,1,1,10,12,0
3,3,1,1,1,1,2,6,1,1,10,12,0
4,3,1,1,1,1,1,3,1,1,10,12,0
1,2,1,1,1,1,1,5,1,1,10,12,0
2,2,1,1,1,1,1,6,1,1,10,12,0
3,2,1,1,1,1,1,5,1,1,10,12,0
4,2,1,1,1,2,2,3,1,1,10,12,0
1,3,1,1,1,1,1,1,1,1,10,12,0
2,2,1,1,1,1,1,3,1,1,10,12,0
3,2,1,1,1,1,2,2,1,1,10,12,0
4,2,1,1,1,1,1,2,1,1,10,12,0
5,2,1,1,1,1,2,2,1,1,10,12,0
1,2,1,1,1,1,1,5,1,1,10,32,3
2,2,1,1,1,1,1,5,1,1,10,32,3
3,3,1,1,1,1,1,1,1,1,10,32,3
12,2,5,2,1,1,2,4,1,1,10,6,2
13,2,5,2,1,1,2,2,1,1,10,6,2
16,2,4,5,1,1,1,2,1,1,10,6,2
17,2,6,5,1,1,1,1,1,1,10,6,2
18,2,4,5,1,1,2,3,1,1,10,6,2
20,2,6,5,1,1,1,6,1,1,10,6,2
1,2,2,5,1,2,2,4,1,1,10,6,1
2,2,6,5,1,1,1,2,1,1,10,6,1
3,2,6,5,1,2,2,2,1,1,10,6,1
4,2,6,5,2,2,2,2,1,1,10,6,1
5,2,2,1,1,1,1,4,1,1,10,6,1
6,2,1,1,1,1,1,1,1,1,10,6,1
8,2,1,1,1,1,1,4,1,1,10,6,2
9,2,1,1,1,1,1,3,1,1,10,6,2
10,2,2,1,1,1,1,6,1,1,10,6,2
11,2,2,5,1,1,1,1,1,1,10,6,2
13,2,2,2,1,1,2,2,1,1,10,6,2
15,2,2,5,1,1,1,5,1,1,10,6,2
16,2,2,2,1,1,1,4,1,1,10,6,2
17,2,2,2,1,1,1,4,1,1,10,6,2
1,2,2,2,1,1,1,5,1,1,10,7,1
2,2,1,2,1,1,1,4,1,1,10,7,1
3,2,2,2,1,2,2,7,2,2,10,7,1
4,2,2,2,1,1,1,3,1,1,10,7,1
5,2,2,2,1,1,1,2,1,1,10,7,1
6,2,2,5,1,1,1,3,1,1,10,7,1
7,3,2,2,1,1,1,2,1,1,10,7,1
8,2,2,2,1,1,1,5,1,1,10,7,2
9,2,2,2,1,1,2,5,1,1,10,7,2
10,2,2,2,1,1,1,4,1,1,10,7,2
11,2,2,2,1,1,2,2,1,1,10,7,2
12,3,1,1,1,1,1,3,1,1,10,7,2
13,2,2,2,1,1,1,5,1,1,10,7,2
14,2,2,5,1,1,1,5,1,1,10,7,2
15,2,1,5,1,1,1,5,1,1,10,7,2
5,2,1,1,1,1,1,2,1,1,10,5,1
1,3,1,1,1,1,2,3,1,1,10,5,1
2,3,1,1,1,1,1,5,1,1,10,5,1
3,3,1,2,1,1,1,2,1,1,10,5,1
4,3,1,1,1,1,2,5,1,1,10,5,1
5,3,1,1,1,1,2,7,1,1,10,5,1
1,2,1,1,1,1,2,1,1,1,10,5,1
3,2,1,1,1,1,1,5,1,1,10,5,1
4,3,1,1,1,1,2,4,1,1,10,5,1
5,2,1,1,1,1,1,1,1,1,10,5,1
1,3,1,1,1,1,1,1,1,1,10,5,1
3,2,1,1,1,1,1,4,1,1,10,5,1
4,2,1,1,1,1,1,5,1,1,10,5,1
5,3,1,1,1,1,1,3,1,1,10,5,1
1,2,1,1,1,1,1,4,1,1,10,7,1
3,2,1,1,1,1,1,2,1,1,10,7,1
4,2,1,1,1,1,1,1,1,1,10,7,1
5,3,1,1,1,1,1,3,1,1,10,7,1
1,3,1,1,1,1,1,2,1,1,10,7,1
2,2,1,1,1,1,1,4,1,1,10,7,1
3,3,1,1,1,1,1,1,1,1,10,7,1
4,2,1,1,1,1,1,1,1,1,10,7,1
1,3,1,1,1,1,1,2,1,1,10,7,1
2,3,1,1,1,1,2,5,1,1,10,7,1
3,2,1,1,1,1,1,5,1,1,10,7,1
4,2,1,1,1,1,1,4,1,1,10,7,1
1,2,1,1,1,1,1,2,1,1,10,7,1
2,3,1,1,1,1,1,4,1,1,10,7,1
3,3,1,1,1,2,2,1,1,1,10,7,1
5,3,1,1,1,1,1,2,1,1,10,7,1
1,2,1,1,1,1,1,4,1,1,10,7,1
2,3,1,1,1,1,1,5,1,1,10,7,1
3,3,1,1,1,1,1,6,1,1,10,7,1
4,3,1,1,1,1,1,6,1,1,10,7,1
1,3,1,1,1,1,1,1,1,1,10,7,1
2,2,1,1,1,1,1,2,1,1,10,7,1
3,2,1,1,1,1,1,4,1,1,10,7,1
6,2,1,1,1,1,2,1,1,1,10,32,3
7,2,1,1,1,1,1,3,1,1,10,32,3
9,2,1,1,1,1,2,2,1,1,10,32,3
10,2,1,1,1,1,1,6,1,1,10,32,3
11,1,1,1,1,1,1,1,1,1,10,32,3
12,2,1,1,1,1,1,5,1,1,10,32,3
13,3,1,1,1,1,1,5,1,1,10,32,3
14,2,2,1,1,1,1,2,1,1,10,32,3
16,3,1,1,1,1,1,2,1,1,10,32,3
18,3,1,1,1,1,1,1,1,1,10,32,3
19,3,1,1,1,1,1,2,1,1,10,32,3
20,3,1,1,1,1,1,4,1,1,10,32,3
1,2,2,1,1,1,2,7,1,1,10,32,3
2,2,1,1,1,1,1,5,1,1,10,32,3
3,3,1,1,1,1,1,5,1,1,10,32,3
4,3,1,1,1,1,2,4,1,1,10,32,3
5,3,1,1,1,1,1,4,1,1,10,32,3
6,1,1,1,1,1,1,7,1,1,10,32,3
7,2,1,1,1,1,1,2,1,1,10,32,3
9,3,1,1,1,1,2,2,1,1,10,32,3
10,3,1,1,1,1,1,3,1,1,10,32,3
11,2,1,1,1,1,2,3,1,1,10,32,3
12,2,1,1,1,1,1,4,1,1,10,32,3
13,1,2,1,1,1,2,5,1,1,10,32,3
14,2,2,1,1,1,2,1,1,1,10,32,3
15,2,1,1,1,1,1,9,2,2,10,32,3
16,2,1,1,1,1,1,2,1,1,10,32,3
17,3,1,1,1,1,1,3,1,1,10,32,3
18,2,1,1,1,1,2,6,1,1,10,32,3
19,2,1,1,1,1,1,5,1,1,10,32,3
20,2,1,1,1,2,2,3,1,1,10,32,3
1,2,1,1,1,1,1,3,1,1,10,38,3
2,2,1,1,1,1,1,4,1,1,10,38,3
3,3,3,1,1,1,2,8,1,1,10,38,3
5,3,1,1,1,1,1,4,1,1,10,38,3
7,3,1,1,1,1,1,4,1,1,10,38,3
8,3,1,1,1,1,1,5,1,1,10,38,3
1,2,1,1,1,1,1,2,1,1,10,15,0
2,2,1,1,1,1,1,4,1,1,10,15,0
3,2,2,1,1,1,1,2,1,1,10,15,0
4,2,2,1,1,1,1,2,1,1,10,15,0
5,2,1,2,1,1,1,8,1,1,10,15,0
6,2,1,1,1,1,1,7,1,1,10,15,0
7,2,2,2,1,1,1,2,1,1,10,15,0
8,2,1,1,1,1,1,5,1,1,10,15,0
10,2,1,2,1,1,1,4,1,1,10,15,0
12,2,1,1,1,1,1,2,1,1,10,15,0
13,2,1,1,1,1,1,5,1,1,10,15,2
14,2,1,1,1,1,1,3,1,1,10,15,2
15,2,1,1,1,1,1,6,1,1,10,15,2
16,2,1,1,1,1,1,6,1,1,10,15,2
17,2,1,2,1,1,1,5,1,1,10,15,2
18,2,1,1,1,1,1,2,1,1,10,15,2
2,2,1,2,1,1,1,5,1,1,10,16,0
3,3,1,2,1,1,1,4,1,1,10,16,0
4,3,1,1,1,1,1,2,1,1,10,16,0
5,2,1,1,1,1,1,4,1,1,10,16,0
6,1,2,2,1,1,2,2,1,1,10,16,0
8,2,1,1,1,1,2,4,1,1,10,16,0
9,3,2,2,1,1,1,3,1,1,10,16,0
12,3,1,2,1,1,1,1,1,1,10,16,0
13,3,1,1,1,1,1,2,1,1,10,16,0
14,3,1,2,1,1,1,2,1,1,10,16,2
15,3,2,1,1,1,2,1,1,1,10,16,2
16,2,1,1,1,2,2,9,1,1,10,16,2
17,2,2,1,1,1,1,4,1,1,10,16,2
19,2,1,2,1,1,1,6,1,1,10,16,2
20,2,1,5,1,1,2,4,1,1,10,16,2
1,2,2,1,1,1,1,1,1,1,10,20,0
2,2,1,2,1,1,1,6,1,1,10,20,0
3,2,1,2,1,1,1,3,1,1,10,20,0
4,2,1,1,1,1,1,2,1,1,10,20,0
5,2,1,2,1,1,1,5,1,1,10,20,0
4,3,1,1,1,1,1,3,1,1,10,7,1
5,2,1,1,1,1,1,2,1,1,10,7,1
1,2,1,1,1,1,1,8,2,2,10,7,1
2,2,1,1,1,2,2,1,1,1,10,7,1
3,2,1,1,1,1,1,3,1,1,10,7,1
5,3,1,1,1,1,1,5,1,1,10,7,1
2,2,1,1,1,1,1,1,1,1,10,7,1
3,2,1,1,1,1,1,2,1,1,10,7,1
4,3,1,1,1,1,1,7,1,1,10,7,1
1,2,1,1,1,1,2,3,1,1,10,7,1
2,2,1,1,1,1,2,2,1,1,10,7,1
3,2,1,1,1,1,1,5,1,1,10,7,1
1,3,1,1,1,1,1,2,1,1,10,7,1
2,3,1,1,1,1,1,2,1,1,10,7,1
3,2,1,1,1,1,1,6,1,1,10,7,1
4,3,1,1,1,1,1,6,1,1,10,7,1
5,3,1,1,1,1,1,4,1,1,10,7,1
1,3,1,1,1,1,1,1,1,1,10,7,1
2,3,1,1,1,1,1,2,1,1,10,7,1
3,3,1,1,1,1,1,2,1,1,10,7,1
4,2,1,1,1,1,1,2,1,1,10,7,1
5,3,1,1,1,1,1,4,1,1,10,7,1
1,2,1,1,2,2,2,1,1,1,10,7,1
2,2,2,1,1,1,2,1,1,1,10,7,1
4,2,1,1,1,1,1,2,1,1,10,7,1
5,2,1,1,1,1,1,1,1,1,10,7,1
1,2,1,1,1,1,1,1,1,1,10,7,1
2,2,1,1,1,1,1,4,1,1,10,7,1
3,3,1,1,1,1,1,2,1,1,10,7,1
4,2,1,1,1,1,1,2,1,1,10,7,1
1,2,1,1,1,1,1,1,1,1,10,7,1
2,2,1,1,1,1,1,3,1,1,10,7,1
3,2,1,1,1,1,1,4,1,1,10,7,1
4,2,1,1,1,1,1,4,1,1,10,7,1
5,2,1,1,1,1,1,9,1,1,10,7,2
1,2,1,1,1,1,1,6,1,1,10,7,1
2,2,1,1,1,1,1,4,1,1,10,7,1
3,2,1,1,1,1,1,5,1,1,10,7,1
9,2,1,1,1,1,1,4,1,1,10,38,3
11,2,1,1,1,1,2,1,1,1,10,38,3
12,2,1,1,1,1,2,3,1,1,10,38,3
13,2,1,1,1,1,1,5,1,1,10,38,3
14,2,1,1,1,1,1,5,1,1,10,38,3
15,2,1,1,1,1,1,4,1,1,10,38,3
17,2,1,1,1,1,1,2,1,1,10,38,3
18,3,1,1,1,1,1,4,1,1,10,38,3
19,2,1,1,1,1,1,3,1,1,10,38,3
20,3,1,1,1,1,1,3,1,1,10,38,3
3,2,1,1,1,1,2,3,1,1,10,4,1
5,2,1,1,1,1,1,4,1,1,10,4,1
6,1,1,1,1,1,2,1,1,1,10,4,1
8,2,1,1,1,1,2,2,1,1,10,4,1
9,2,2,1,1,1,1,3,1,1,10,4,2
11,2,2,1,1,1,2,5,1,1,10,4,2
12,2,2,1,1,1,2,4,1,1,10,4,2
13,1,2,1,1,2,2,5,1,1,10,4,2
14,2,2,1,1,1,1,5,1,1,10,4,2
15,2,2,1,1,1,1,5,1,1,10,4,2
16,3,1,1,1,1,1,4,1,1,10,4,2
18,2,1,1,1,1,2,4,1,1,10,4,2
19,2,1,1,1,1,1,5,2,2,10,4,2
20,2,1,1,1,1,1,2,1,1,10,4,2
1,2,1,2,1,2,2,2,1,1,10,8,0
2,3,1,2,1,1,1,4,1,1,10,8,1
4,2,2,2,1,1,2,2,1,1,10,8,1
5,2,1,2,1,1,2,3,2,2,10,8,1
6,2,2,1,1,1,2,3,1,1,10,8,1
7,2,1,2,1,2,1,3,1,1,10,8,1
8,2,2,2,1,1,2,8,2,2,10,8,2
3,3,1,1,1,1,1,3,1,1,9,16,0
4,3,1,1,1,1,1,2,1,1,9,16,0
5,3,1,1,1,1,1,2,1,1,9,16,0
2,3,1,1,1,1,1,1,1,1,9,16,0
3,3,1,1,1,1,1,2,1,1,9,16,0
5,3,1,1,1,1,1,4,1,1,9,16,0
1,3,1,1,1,1,1,2,1,1,9,16,0
2,3,1,1,1,1,1,3,1,1,9,16,0
3,3,1,1,1,1,1,4,1,1,9,16,0
4,3,1,1,1,1,1,2,1,1,9,16,0
5,3,1,1,1,1,1,2,1,1,9,16,0
1,3,1,1,1,1,1,2,1,1,9,16,0
3,3,1,1,1,1,1,1,1,1,9,16,0
4,3,1,1,1,1,1,2,1,1,9,16,0
5,3,1,1,1,1,1,1,1,1,9,16,0
1,3,1,1,1,1,1,1,1,1,9,16,0
2,2,1,1,1,1,1,1,1,1,9,16,0
3,3,1,1,1,1,1,3,1,1,9,16,0
4,2,1,1,1,1,1,4,1,1,9,16,0
5,3,1,1,1,1,1,1,1,1,9,16,0
1,3,1,1,1,1,1,4,1,1,9,16,0
2,3,1,1,1,1,1,2,1,1,9,16,0
3,3,1,1,1,1,1,3,1,1,9,16,0
4,2,1,1,1,1,1,2,1,1,9,16,0
5,2,1,1,1,1,1,3,1,1,9,16,0
1,3,1,1,1,1,1,4,1,1,9,17,0
3,3,1,1,1,1,1,3,1,1,9,17,0
4,3,1,1,1,1,1,6,2,2,9,17,0
5,3,1,1,1,1,2,4,1,1,9,17,0
1,3,1,1,1,1,1,1,1,1,9,17,0
2,3,1,1,1,1,1,5,1,1,9,17,0
3,3,1,1,1,1,1,4,1,1,9,17,0
4,3,1,1,1,1,1,2,1,1,9,17,0
5,3,1,1,1,1,1,1,1,1,9,17,0
1,3,1,1,1,1,2,1,1,1,9,17,0
2,3,1,1,1,1,1,3,1,1,9,17,0
3,2,1,1,1,1,1,4,1,1,9,17,0
3,3,1,1,1,1,1,2,1,1,9,16,0
5,3,1,1,1,1,1,1,1,1,9,16,0
1,3,1,1,1,1,1,5,1,1,9,17,0
2,3,1,1,1,1,1,1,1,1,9,17,0
3,3,1,1,1,1,1,3,1,1,9,17,0
4,3,1,1,1,1,1,3,1,1,9,17,0
5,3,1,1,1,1,1,1,1,1,9,17,0
2,2,5,2,1,1,1,3,1,1,9,8,0
3,2,5,2,1,1,2,9,1,1,9,8,2
4,2,5,2,1,1,2,4,1,1,9,8,1
5,2,5,2,1,1,2,7,1,1,9,8,2
7,2,5,2,1,2,2,1,1,1,9,8,2
8,2,5,2,1,2,1,7,1,1,9,8,2
9,1,5,2,1,1,2,4,1,1,9,8,2
10,2,5,2,1,1,2,7,1,1,9,8,2
11,1,5,2,1,1,1,5,1,1,9,8,2
12,2,5,2,1,1,2,6,1,1,9,8,2
13,2,1,2,1,1,1,3,1,1,9,8,2
16,2,6,1,1,1,1,4,1,1,9,8,2
18,2,6,2,1,1,2,5,1,1,9,8,2
19,2,6,2,1,1,2,4,1,1,9,8,2
1,2,1,1,1,1,1,4,1,1,9,9,0
2,2,1,1,1,1,2,3,1,1,9,9,0
3,2,1,2,1,2,2,5,1,1,9,9,0
4,2,1,1,1,2,2,4,1,1,9,9,0
5,2,2,2,1,1,1,4,1,1,9,9,0
6,2,2,2,1,1,1,4,1,1,9,9,0
8,2,5,1,1,1,2,3,1,1,9,9,2
9,2,5,2,1,2,2,5,1,1,9,9,2
10,2,1,1,1,1,2,3,1,1,9,9,2
11,2,2,2,1,1,2,1,1,1,9,9,2
12,2,2,2,1,1,2,4,1,1,9,9,2
13,2,2,2,1,1,2,6,1,1,9,9,2
14,2,2,2,1,1,1,1,1,1,9,9,2
15,2,2,2,1,2,2,5,1,1,9,9,2
3,2,1,1,1,1,1,5,1,1,10,5,1
4,3,1,1,1,1,1,2,1,1,10,5,1
5,2,1,1,1,1,1,6,1,1,10,5,1
1,2,1,1,1,1,1,1,1,1,10,5,1
2,3,1,1,1,1,1,4,1,1,10,5,1
4,3,1,1,1,1,1,1,1,1,10,5,1
5,3,1,1,1,1,1,3,1,1,10,5,1
1,3,1,1,1,1,1,4,1,1,10,5,1
2,3,1,1,1,1,1,1,1,1,10,5,1
3,3,1,1,1,1,1,1,1,1,10,5,1
4,2,1,1,1,1,1,4,1,1,10,5,1
5,3,1,1,1,1,1,3,1,1,10,5,1
1,3,1,1,1,1,1,3,1,1,10,5,1
2,3,1,1,1,1,1,3,1,1,10,5,1
3,3,1,1,1,1,1,1,1,1,10,5,1
4,3,1,1,1,1,1,3,1,1,10,5,1
5,2,1,1,1,1,1,3,1,1,10,5,1
1,3,1,1,1,1,1,4,1,1,10,5,1
2,2,1,1,1,1,1,2,1,1,10,5,1
3,3,1,1,1,1,1,3,1,1,10,5,1
4,3,1,1,1,1,2,4,1,1,10,5,1
5,2,1,1,1,1,1,2,1,1,10,5,1
1,3,1,1,1,1,1,5,1,1,10,5,1
3,3,1,1,1,1,1,3,1,1,10,5,1
5,3,1,1,1,1,2,3,1,1,10,5,1
1,3,1,1,1,1,1,1,1,1,10,5,1
2,3,1,1,1,1,2,2,1,1,10,5,1
3,2,1,1,1,1,1,3,1,1,10,5,1
4,2,1,1,1,1,1,2,1,1,10,5,1
1,2,1,1,1,1,1,3,1,1,10,5,1
2,2,1,1,1,1,2,1,1,1,10,5,1
4,3,1,1,1,1,1,4,1,1,10,5,1
